iter	Passed	Remaining
473	659	731
474	660	730
475	661	728
476	662	726
477	663	724
478	664	723
479	665	721
480	666	719
481	667	717
482	668	715
483	669	713
484	670	711
485	671	709
486	672	707
487	673	706
488	673	704
489	674	702
490	675	700
491	677	699
492	678	697
493	679	695
494	679	693
495	680	691
496	681	690
497	682	688
498	683	686
499	684	684
500	685	682
501	686	681
502	687	679
503	688	678
504	690	676
505	691	674
506	692	672
507	693	671
508	694	669
509	695	667
510	696	666
511	696	664
512	697	662
513	698	660
514	699	658
515	700	657
516	701	655
517	702	653
518	703	652
519	704	650
520	705	648
521	706	646
522	707	645
523	708	643
524	709	641
525	709	639
526	710	637
527	711	636
528	712	634
529	713	632
530	714	630
531	715	629
532	716	627
533	717	626
534	718	624
535	719	622
536	720	620
537	721	619
538	722	617
539	723	615
540	723	614
541	724	612
542	725	610
543	726	608
544	727	607
545	728	605
546	729	603
547	730	602
548	731	600
549	732	599
550	733	597
551	733	595
552	734	593
553	735	592
554	736	590
555	737	588
556	738	587
557	739	585
558	740	583
559	741	582
560	741	580
561	742	579
562	744	577
563	744	575
564	746	574
565	747	572
566	747	571
567	748	569
568	749	567
569	750	566
570	751	564
571	752	563
572	753	561
573	754	559
574	755	558
575	756	556
576	757	555
577	758	553
578	759	552
579	760	550
580	761	548
581	761	547
582	762	545
583	763	544
584	764	542
585	765	541
586	766	539
587	767	537
588	768	536
589	769	534
590	770	533
591	771	531
592	772	530
593	773	528
594	774	527
595	775	525
596	776	524
597	777	522
598	778	520
599	779	519
600	780	517
601	780	516
602	781	514
603	782	513
604	783	511
605	784	509
606	785	508
607	786	507
608	787	505
609	788	504
610	789	502
611	790	500
612	790	499
613	791	497
614	792	496
615	793	494
616	794	493
617	796	492
618	797	490
619	797	489
620	799	487
621	800	486
622	801	484
623	802	483
624	803	481
625	803	480
626	804	478
627	805	477
628	806	475
629	807	474
630	808	472
631	809	471
632	810	469
633	811	468
634	813	467
635	814	465
636	815	464
637	816	463
638	817	461
639	817	460
640	818	458
641	819	457
642	820	455
643	822	454
644	822	452
645	823	451
646	824	450
647	825	448
648	827	447
649	828	445
650	829	444
651	829	442
652	831	441
653	831	440
654	832	438
655	833	437
656	834	435
657	835	434
658	836	433
659	837	431
660	838	430
661	839	428
662	841	427
663	842	426
664	843	424
665	844	423
666	845	421
667	846	420
668	847	419
669	847	417
670	848	416
671	849	414
672	850	413
673	851	412
674	853	410
675	854	409
676	855	408
677	856	406
678	857	405
679	858	403
680	859	402
681	860	401
682	861	399
683	861	398
684	862	396
685	863	395
686	864	393
687	865	392
688	866	391
689	867	389
690	868	388
691	869	387
692	870	385
693	871	384
694	872	382
695	873	381
696	874	380
697	875	378
698	876	377
699	877	375
700	878	374
701	879	373
702	879	371
703	881	370
704	882	369
705	882	367
706	883	366
707	884	364
708	885	363
709	886	362
710	887	360
711	888	359
712	889	357
713	890	356
714	891	355
715	892	353
716	893	352
717	894	351
718	895	349
719	896	348
720	897	347
721	898	345
722	899	344
723	900	343
724	900	341
725	901	340
726	902	338
727	903	337
728	904	336
729	905	334
730	906	333
731	907	332
732	908	330
733	909	329
734	910	328
735	911	326
736	915	326
737	916	325
738	918	324
739	919	323
740	923	322
741	924	321
742	926	320
743	927	319
744	928	317
745	930	316
746	931	315
747	933	314
748	935	313
749	936	312
750	937	310
751	939	309
752	940	308
753	941	307
754	942	305
755	944	304
756	945	303
757	947	302
758	949	301
759	950	300
760	951	298
761	953	297
762	954	296
763	955	295
764	956	293
765	957	292
766	959	291
767	960	290
768	961	288
769	962	287
770	964	286
771	966	285
772	967	284
773	969	282
774	970	281
775	971	280
776	972	279
777	973	277
778	974	276
779	975	275
780	976	273
781	977	272
782	978	271
783	979	269
784	980	268
785	981	267
786	982	266
787	983	264
788	985	263
789	986	262
790	987	260
791	988	259
792	989	258
793	990	257
794	991	255
795	992	254
796	993	253
797	994	251
798	995	250
799	996	249
800	997	247
801	998	246
802	999	245
803	1001	244
804	1002	242
805	1003	241
806	1004	240
807	1005	238
808	1006	237
809	1006	236
810	1007	234
811	1008	233
812	1009	232
813	1010	230
814	1011	229
815	1012	228
816	1013	227
817	1014	225
818	1015	224
819	1016	223
820	1017	221
821	1018	220
822	1019	219
823	1020	218
824	1021	216
825	1022	215
826	1023	214
827	1024	212
828	1025	211
829	1026	210
830	1028	209
831	1028	207
832	1030	206
833	1031	205
834	1031	203
835	1032	202
836	1033	201
837	1034	200
838	1035	198
839	1036	197
840	1037	196
841	1038	194
842	1039	193
843	1040	192
844	1041	191
845	1042	189
846	1043	188
847	1044	187
848	1045	185
849	1046	184
850	1047	183
851	1048	182
852	1048	180
853	1049	179
854	1050	178
855	1051	176
856	1052	175
857	1053	174
858	1054	173
859	1055	171
860	1056	170
861	1057	169
862	1058	168
863	1059	166
864	1060	165
865	1061	164
866	1062	162
867	1063	161
868	1064	160
869	1065	159
870	1065	157
871	1066	156
872	1067	155
873	1069	154
874	1070	152
875	1070	151
876	1071	150
877	1072	149
878	1073	147
879	1074	146
880	1075	145
881	1076	144
882	1077	142
883	1078	141
884	1079	140
885	1080	138
886	1081	137
887	1082	136
888	1083	135
889	1084	134
890	1085	132
891	1086	131
892	1087	130
893	1088	129
894	1089	127
895	1089	126
896	1090	125
897	1091	124
898	1092	122
899	1093	121
900	1094	120
901	1095	119
902	1096	117
903	1098	116
904	1099	115
905	1100	114
906	1101	112
907	1102	111
908	1102	110
909	1103	109
910	1104	107
911	1105	106
912	1106	105
913	1107	104
914	1108	102
915	1109	101
916	1111	100
917	1112	99
918	1113	98
919	1113	96
920	1114	95
921	1115	94
922	1116	93
923	1117	91
924	1118	90
925	1119	89
926	1120	88
927	1121	86
928	1121	85
929	1123	84
930	1124	83
931	1125	82
932	1126	80
933	1127	79
934	1127	78
935	1128	77
936	1129	75
937	1130	74
938	1131	73
939	1132	72
940	1133	71
941	1134	69
942	1135	68
943	1136	67
944	1137	66
945	1138	64
946	1139	63
947	1140	62
948	1141	61
949	1142	60
950	1143	58
951	1144	57
952	1145	56
953	1145	55
954	1146	54
955	1147	52
956	1148	51
957	1149	50
958	1150	49
959	1151	47
960	1152	46
961	1153	45
962	1154	44
963	1155	43
964	1156	41
965	1157	40
966	1158	39
967	1159	38
968	1160	37
969	1161	35
970	1161	34
971	1162	33
972	1163	32
973	1164	31
974	1165	29
975	1166	28
976	1167	27
977	1168	26
978	1169	25
979	1170	23
980	1171	22
981	1172	21
982	1173	20
983	1174	19
984	1175	17
985	1175	16
986	1176	15
987	1178	14
988	1179	13
989	1180	11
990	1181	10
991	1182	9
992	1183	8
993	1184	7
994	1185	5
995	1186	4
996	1187	3
997	1188	2
998	1189	1
999	1190	0
